Review title score,Suggestions
-0.4,"little, bad, very,not, away"
-0.33,"simply, don't, slower, dull, maybe, temporary, isn't, ultra-shy, transnational, slowly, extremely, such, doesn't, not, inaccurate, boredom, space, not, almost, wasn't, never, depressing, aren't,must not see, "
-0.25,"only, negative, never, can't, dull, boring, probably, aren't, far, outweigh, rarely, past, traumatic, partially, isn't, old, dumbest, not, acting, not, least, haven't, Don't, waste, "
-0.2,"Inappropriately, actually, sad,, realistic, individual, purposefully, spare, central, fast-fading,low, blankly, badly, quickly, trace, nowhere, else,forever, dead-end, only, silently, never, small, least, "
-0.14,"Hillbilly, bestial, uncertified, including, attractive, very, artistic, old, "
-0.11,"serious, comical, many, write, temporary, silly, ""Why, so, here, world."", only, stuck, in,, only, they'll, little, just, much, more, so, much, ""American, mid-life, so, much, more, possible, much, human, epic, particularly, yet, somehow, lovable, thorough, stereotypical, ""comic, more, typical, most, only, sorry, her,, only, better, certainly, not, comfortable, more, ""Saving, Private, ""Romy, Michelle's, too, deep,, most, wouldn't, patient, so, many, great, "
0.0,"average,ordinary,so so,mediocre,medium"
0.13,"comic, third, recently, familiar, guarded, extremely, lethargic, practically, camp, away, ship, lovely, very, good, rough,funny, now-defunct"
0.17,"really, new, low, more, far, believable, Sure, potential, already, interesting, solid, socially, critic, cool, special, average, much, exposed, meet, always, time, good, unspecified, future, quickly, single, high, wages, better, more, instead, conventional, high, most, purely, free, creative, vehicular,potential, comfortably, highly,"
0.2,"first, disparate, only, brief, new, very, acting, so, well, easily, practically, many, right, bully, just, him,, immediately, fistfight, numerous, real, back, very, young, very, nitty-gritty, glossed-over, reality-denial, dominated, there, often, especially, era, own, dual-based, survival, escape, later, steadily, ever-changing, comedy, harmoniously, utter, mutual, amorous, strong, such, modern, characterizations,, first, dramatic, thoroughly, enjoyed, until, now, comedic "
0.25,"vivid, real, delightfully, broadly, great, emotional, really, interested, such, strong, personal, fabulous, first, rather, really, big, first, forward, special, first, true, outstanding, sudden, best, great, enjoyable, well, heart-of-gold, valuable,"
0.29,"often, hilarious, honest, funny, slow-moving, that--slow, very, funny, inner-office, too, so, perfect, low-key, smartly, most, so, well, easily, nearly, identical, horrible, push, key, better, honest, worth"
0.33,"interested, useful,well, huge, so, often, good, enjoyable, very, unique, interesting, very, enjoyable"
0.4,"Generally, good, ideal, Generally, good, ideal, acting, spectacular, especially, still, entire, longer, extended, entire, sequel, "
0.5,"wonderful, very, best, little, probably, too, much, superb, outstanding, last, absolutely, naturalistic, best, best, totally, resourceful, opposite, blockbuster, finely, crafted"
